page_type,location_country,referrer_host,ua_os,hour,total_orders_placed,total_checkouts,total_carts,total_sessions,total_pageviews,total_conversion,total_bounce_rate,ua_form_factor,referrer_source,referrer_name
Homepage,Dominica,jones-shelton.com,Mac OS X,2020-10-17 17:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,
Homepage,Gabon,Unknown,iOS,2019-09-28 06:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Unknown,Bosnia and Herzegovina,Unknown,Linux,2021-01-07 19:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Dominica,Unknown,Mac OS X,2021-06-27 09:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Product,Saint Helena,l.instagram.com,Android,2020-11-14 10:00:00,2,3,4,7,14,0.2857142857142857,0.0,Mobile,Social,Instagram
Homepage,Dominica,www.google.com,Android,2019-08-15 13:00:00,0,0,0,1,1,0.0,1.0,Mobile,Search,Google
Product,Gabon,www.instagram.com,iOS,2020-07-09 03:00:00,0,0,0,1,1,0.0,1.0,Mobile,Social,Instagram
Homepage,Indonesia,www.google.com,iOS,2020-10-11 17:00:00,0,0,0,1,1,0.0,1.0,Mobile,Search,Google
Homepage,Lesotho,myers.com,Other,2021-11-04 14:00:00,2,4,4,6,8,0.3333333333333333,0.6666666666666667,Other,Unknown,
Homepage,Cape Verde,jones-shelton.com,Android,2020-09-11 00:00:00,1,1,1,3,6,0.3333333333333333,0.0,Mobile,Unknown,
Homepage,Bosnia and Herzegovina,Unknown,Android,2019-07-24 11:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Bermuda,Unknown,Mac OS X,2021-01-07 06:00:00,0,0,0,1,1,0.0,1.0,Desktop,,
Homepage,Indonesia,jones-shelton.com,Windows,2020-09-22 08:00:00,0,0,0,1,1,0.0,1.0,Desktop,Unknown,
Product,Bangladesh,Unknown,Android,2019-11-22 22:00:00,5,9,9,13,21,0.38461538461538464,0.3846153846153846,Mobile,,
Homepage,Dominica,Unknown,Android,2020-12-21 03:00:00,0,0,0,1,1,0.0,1.0,Mobile,,
Homepage,Dominica,yandex.ru,iOS,2021-02-05 10:00:00,0,0,0,1,1,0.0,1.0,Mobile,Search,Yandex
Product,Angola,campbell.org,iOS,2021-01-12 19:00:00,0,0,0,1,1,0.0,1.0,Mobile,Unknown,
